Creation_Date,Estee_ID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
5/3/2021,BRSAPRCDAM13BR00,1,100,20.88,Executed,36:03.3
5/3/2021,BRSAPRCDAM13BR00,1,100,20.86,Executed,37:32.4
5/3/2021,BRALUPCDAM15BR00,2,100,26.97,Executed,36:25.6
5/3/2021,BRCESPACNPB4BR00,2,100,25.05,Executed,36:56.4
5/3/2021,BRCSNAACNOR6BR00,1,100,47.46,Executed,36:04.8
5/3/2021,BRPETRACNPR6BR00,1,100,23.4,Executed,36:28.8
5/3/2021,BREZTCACNOR0BR00,1,100,32.39,Executed,36:10.4
5/3/2021,BREQTLACNOR0BR00,1,100,23.59,Executed,36:09.9
5/3/2021,BRHGTXACNOR9BR00,2,100,26.89,Executed,36:27.6
5/3/2021,BRCSNAACNOR6BR00,1,100,47.46,Executed,36:06.6
5/3/2021,BRB3SAACNOR6BR00,1,100,51.44,Executed,36:25.5
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,36:10.5
5/3/2021,BRYDUQACNOR3BR00,1,100,29.1,Executed,36:18.2
5/3/2021,BRGOLLACNPR4BR00,2,100,23.46,Executed,36:11.3
5/3/2021,BRNTCOACNOR5BR00,2,100,49.59,Executed,36:06.4
5/3/2021,BRSMTOACNOR3BR00,2,100,31.27,Executed,36:54.3
5/3/2021,BRUGPAACNOR8BR00,2,100,21.36,Executed,36:30.2
5/3/2021,BRFLRYACNOR5BR00,1,100,25.07,Executed,36:25.9
5/3/2021,BRROMIACNOR8BR00,1,100,30.55,Executed,36:10.5
5/3/2021,BRELETACNPB7BR00,1,100,36.87,Executed,36:10.4
5/3/2021,BRNTCOACNOR5BR00,2,100,49.6,Executed,36:09.3
5/3/2021,BROMGEACNOR0BR00,2,100,38.03,Executed,36:40.7
5/3/2021,BRCSNAACNOR6BR00,1,100,47.46,Executed,36:08.3
5/3/2021,BRLIGTACNOR2BR00,2,100,17.36,Executed,36:20.2
5/3/2021,BRBBDCACNPR8BR00,2,100,24.53,Executed,36:34.2
